ano;titulo;suporte;tecnica;dimensoes;resolucao;nome_arquivo;pasta_origem;tem_ficha;link_imagem;observacoes
2016;construção_2016_-_pastel_e_grafite_s_papel_18x13cm;Papel;grafite, pastel;18x13cm;verificar;construção_2016_-_pastel_e_grafite_s_papel_18x13cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1wDh-PB-C2hb7P5nTiAlfHsF6u1opt4HY;Obra catalogada automaticamente
2016;sem_titulo_2016_-_aquarela_spapel_18x24cm;Papel;aquarela;18x24cm;verificar;sem_titulo_2016_-_aquarela_spapel_18x24cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1M6RvGpSheRgEmCYjP2joxtJHwZdki0sH;Obra catalogada automaticamente
2016;rasgado_2016_- _acrílica_e_grafite_spapel_100x76cm;Papel;grafite, acrílica;100x76cm;verificar;rasgado_2016_- _acrílica_e_grafite_spapel_100x76cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1gN2W_NqIhaWUS0YIEPBlOJPPb_bI8C_A;Obra catalogada automaticamente
2016;sem_titulo_2016_- _acrílica_e_bastão_a_óleo_spapel_65x48cm;Papel;óleo, acrílica;65x48cm;verificar;sem_titulo_2016_- _acrílica_e_bastão_a_óleo_spapel_65x48cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1AjBURM51cpmV6dMdLojyUy_s3TFVJdpG;Obra catalogada automaticamente
2016;sem_titulo_2016_-_hidrocor_s_papel_18x13cm;Papel;identificar;18x13cm;verificar;sem_titulo_2016_-_hidrocor_s_papel_18x13cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1F0P2sO2n0RyOjmAOWIuiyvLqr-isJlrT;Obra catalogada automaticamente
2016;sem_titulo_2016 _-_acrílica_bastão_a_óleo_e_spray_s_papel_40x60cm;Papel;óleo, acrílica;40x60cm;verificar;sem_titulo_2016 _-_acrílica_bastão_a_óleo_e_spray_s_papel_40x60cm.jpg;Papéis/2016;buscar;https://drive.google.com/file/d/1Z1qB7zot-AAZDuZxSnkNfYto2m8QIfM_;Obra catalogada automaticamente
2016;sem_título_2016_-_acrílica_e_pastel_slona_40x50cm;Tela/Lona;pastel, acrílica;40x50cm;verificar;sem_título_2016_-_acrílica_e_pastel_slona_40x50cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/13KV-pDyTN5gzVFjnLMa93zg5_W7x_PDx;Obra catalogada automaticamente
2016;sem_titulo_2016 _-_pastel_e_grafite_slona_30x20cm;Tela/Lona;grafite, pastel;30x20cm;verificar;sem_titulo_2016 _-_pastel_e_grafite_slona_30x20cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1IaXIjcw9ofJ6feT89Qwt-BodT02U451m;Obra catalogada automaticamente
2016;Trilogia_do_amanhã_2016_acrílica_e_bastão_a_óleo_slona_190x150cm;Tela/Lona;óleo, acrílica;190x150cm;verificar;Trilogia_do_amanhã_2016_acrílica_e_bastão_a_óleo_slona_190x150cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1TczoN58tfJ41V-W1qAUOcWNW-nidLSS-;Obra catalogada automaticamente
2016;sem_titulo_2016_-_óleo_acrílica_bastão_à_óleo_e_pastel_slona_210x95cm;Tela/Lona;óleo, pastel, acrílica;210x95cm;verificar;sem_titulo_2016_-_óleo_acrílica_bastão_à_óleo_e_pastel_slona_210x95cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1XIqvaD_n1_LTebfXRuVQVRQvrEV5Xloc;Obra catalogada automaticamente
2016;margaridas_2016_-_acrílica_s_lona_190x150cm;Tela/Lona;acrílica;190x150cm;verificar;margaridas_2016_-_acrílica_s_lona_190x150cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1amd4gox03-PMw4FxG8UnA-MPpCi3qX0l;Obra catalogada automaticamente
2016;série_verde_2016 _-_acrílica_slona_30x20cm;Tela/Lona;acrílica;30x20cm;verificar;série_verde_2016 _-_acrílica_slona_30x20cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/143MsBzj_rjn3WViy2xzdxKe14nqe3Uqe;Obra catalogada automaticamente
2016;2caras_2016_-_óleo_e_acrílica_slona_160x115cm;Tela/Lona;óleo, acrílica;160x115cm;verificar;2caras_2016_-_óleo_e_acrílica_slona_160x115cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/13Avhy-9clyGc-L_bkleX_XIC8PiOlBoY;Obra catalogada automaticamente
2016;sem_título _2016_-_acrílica_óleo_e_pastel_slona_ _40x50cm;Tela/Lona;óleo, pastel, acrílica;40x50cm;verificar;sem_título _2016_-_acrílica_óleo_e_pastel_slona_ _40x50cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1Cs6neBBrMqsY36C7bgaCsvD8V3m7QZHW;Obra catalogada automaticamente
2016;série_verde_2016 _-_acrílica_slona_30x40cm;Tela/Lona;acrílica;30x40cm;verificar;série_verde_2016 _-_acrílica_slona_30x40cm.jpg;Telas/2016;buscar;https://drive.google.com/file/d/1mKv6jkgX_-zp5S8TV63CvL46B58tOMVR;Obra catalogada automaticamente
